47	194	141	10	37	51	111	96	251
19	14	0	0	0	8	34	43	25
15	3	14	0	0	0	0	7	0
0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	0	0	114
0	0	0	0	0	0	0	0	0
4	0	0	0	6	6	0	4	0
114	220	45	116	519	339	192	82	115
2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
714	181	175	329	1501	839	261	126	431
0	36	6	0	39	6	1	76	104
0	0	1	0	0	23	0	0	0
0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0
0	28	0	0	6	5	3	9	9
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	194	0	0	0	0	0	0	88
57	179	90	9	0	81	0	0	86
618	551	59	11	281	372	0	9	239
119	0	1	152	59	111	0	0	134
264	2057	1306	204	256	606	2187	1755	363
828	3	1	454	751	1825	2	2	968
0	0	1	0	0	0	0	0	0
558	1840	1060	374	871	750	677	717	680
0	3	0	0	0	0	0	0	0
909	402	445	848	668	746	106	449	622
389	51	174	65	219	216	0	136	217
7	3	0	0	1	3	10	6	0
882	0	12	10	228	116	49	42	469
459	449	277	228	574	753	210	162	169
0	1006	48	0	0	200	889	116	0
375	2046	1186	405	676	476	940	1122	518
0	0	2	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	16	6	0	9	15	82	5	2
0	1	0	0	0	0	2	0	12
0	0	0	0	0	0	0	0	2
26	95	73	6	13	85	156	135	120
0	0	0	0	0	41	0	0	14
0	0	19	95	13	12	34	0	97
417	781	291	242	806	653	450	253	873
0	0	2	0	0	0	0	0	2
37	4	77	0	107	140	0	0	4
0	0	0	0	0	0	0	0	2
0	0	27	31	13	68	224	2	75
0	0	0	0	71	0	24	0	5
6	0	21	0	5	1	3	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	14	0	0
0	1	61	0	0	0	0	0	1
168	156	123	112	216	56	17	402	0
0	0	0	0	0	0	0	0	0
9	134	0	0	0	0	0	0	32
0	0	0	0	33	0	1	0	0
0	0	0	20	0	72	0	0	39
326	176	112	188	7	332	242	7	161
257	453	234	54	120	265	617	310	40
0	112	0	0	3	20	0	2	25
135	0	171	60	32	45	0	0	2
6	0	1	0	3	0	0	0	0
0	0	0	0	17	0	1	0	0
0	0	0	0	0	0	0	0	57
0	0	0	180	0	0	0	0	0
0	0	0	0	92	0	0	0	0
0	43	0	0	0	14	0	0	5
0	140	29	0	0	0	272	2	18
523	563	813	58	417	1140	1372	1183	688
0	0	2	0	0	0	0	0	0
15	36	74	1	72	60	4	22	60
183	282	138	56	271	195	187	226	448
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0
237	412	530	1026	97	458	263	234	160
159	1	205	146	103	127	19	93	270
478	647	306	318	452	623	617	516	1067
2339	4370	2536	2101	2703	3551	4085	3822	3852
5570	11570	9051	4222	5979	8623	14597	8152	7151
142	242	437	62	831	412	265	203	71
0	0	1	0	0	0	0	27	0
0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	66	0	70
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
37	0	172	0	55	0	0	0	11
372	562	559	66	342	384	256	193	131
115	157	289	149	126	128	143	28	34
75	58	0	0	0	0	0	0	87
72	292	212	151	154	106	0	112	317
14	0	10	0	14	2	0	0	0
0	0	0	0	0	0	0	0	0
404	250	229	76	384	449	452	218	459
0	0	0	0	2	60	153	0	149
43	299	3	74	19	170	0	7	0
0	0	0	0	0	15	0	0	2
1	0	1	0	5	0	0	0	1
0	44	313	0	13	0	830	181	160
216	7	40	0	414	399	0	12	18
420	577	313	204	336	349	321	276	252
630	1262	282	470	650	952	1670	982	1022
0	0	0	0	0	0	0	2	0
214	787	383	202	1	168	337	13	728
159	0	9	33	0	53	19	47	62
10	22	0	0	8	19	17	18	42
109	627	220	184	406	452	371	220	430
30	0	0	238	22	62	0	0	147
0	0	0	0	0	0	0	0	0
0	0	0	1	4	0	0	0	29
33	16	0	38	0	40	0	0	7
0	0	148	46	0	97	60	137	35
11	0	119	437	0	57	40	64	231
1	0	0	0	26	0	0	0	0
0	45	0	0	0	0	0	0	0
0	5	0	0	0	0	0	7	0
42	197	165	6	135	26	127	119	11
0	0	0	0	0	0	0	0	0
17	466	145	0	120	46	159	0	151
