41	76	40	23	0	0	11	0	67	96	0	0	40	0	0
0	0	0	0	0	0	0	0	0	19	0	0	28	0	0
0	134	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	12	0	0	0	0	0	0	13	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	11	0	0	8	0	0	11	0	0	0
428	533	394	685	10	330	129	546	1375	1033	312	771	475	575	227
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	646	243	263	96	601	348	296	1361	1516	551	636	265	477	1
0	44	36	0	114	14	0	0	0	16	0	0	42	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	157	25	60	0	0	0	0
4	17	0	86	0	23	10	0	0	0	0	0	32	0	0
122	512	95	8	2	0	48	0	9	721	372	174	197	0	612
80	196	38	47	5	15	26	38	69	203	99	48	110	125	244
212	253	187	392	87	0	119	157	408	674	186	561	534	118	51
1454	2851	1497	844	2129	708	563	1002	2598	4315	1474	860	1362	728	1414
0	0	0	0	0	0	10	0	0	6	0	0	0	0	0
159	399	273	265	239	192	278	351	251	1285	382	244	806	0	507
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	346	61	80	317	0	4	0	223	247	129	0	290	0	0
309	30	292	200	142	196	96	0	520	911	282	217	254	127	329
8	17	2	5	8	5	4	0	0	15	16	9	2	0	9
9	132	39	11	0	0	20	0	73	251	0	0	16	0	290
18	181	147	95	193	267	126	12	132	475	179	183	161	109	343
0	0	65	0	0	0	2	0	4	2	34	22	0	0	0
305	822	248	218	423	247	338	754	860	1378	747	693	839	195	394
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	45	0	0	16	48	0	63	29	144	8	79	0	0
3	0	0	0	0	0	5	0	0	0	0	0	0	0	1
0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
11	90	33	1	53	6	13	33	100	84	24	46	27	0	28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	183	0	5	0	115	21	0	49	91	0	36	0	0	186
111	212	156	144	111	0	70	100	300	291	284	224	441	34	281
13	0	0	1	0	0	0	0	0	38	0	0	32	0	0
14	99	0	0	0	0	9	0	0	41	111	2	0	0	0
0	0	0	0	0	0	36	0	0	0	0	0	0	0	0
38	206	0	0	126	0	0	0	0	24	0	0	4	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	34	0	0	0	0	0	0	34	0	0	15	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
