1490	1342	1272	732	2219	1545	1393	1806
5	0	1	8	74	0	0	0
34	0	25	65	31	75	64	50
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
2	109	73	5	0	0	23	0
0	0	0	0	0	0	0	0
6	1	38	0	56	8	0	9
58	31	28	2	74	49	52	19
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
14	0	148	0	108	69	100	173
70	68	0	0	0	0	0	117
0	0	0	0	54	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0
0	8	0	0	0	4	22	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	17	98	0
0	0	0	0	0	0	0	0
3	333	0	0	50	108	95	79
63	103	76	58	147	129	119	232
433	829	598	250	907	589	658	845
522	610	404	351	1166	431	559	455
0	0	0	0	0	0	0	0
185	1	5	387	218	1	2	13
0	0	0	0	0	0	0	0
53	73	0	0	0	0	0	0
15	0	0	1	64	63	0	0
0	2	8	2	10	0	0	0
92	33	68	63	38	57	26	324
0	54	0	44	0	0	0	0
0	0	0	37	30	16	0	33
486	251	558	318	352	416	94	382
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	92	0	0	51	0	0	7
49	16	23	0	37	34	0	0
0	0	0	0	0	43	0	0
22	21	63	5	43	42	0	32
0	0	2	0	0	0	0	0
0	0	10	9	0	11	0	0
87	62	48	93	138	0	0	189
0	0	0	0	0	3	0	0
19	31	0	0	87	0	0	15
0	0	0	0	0	0	0	14
69	70	0	22	87	40	0	86
0	0	0	12	0	0	0	0
14	0	0	0	0	0	0	83
0	0	0	0	0	0	0	0
0	0	0	0	0	16	0	0
91	0	118	24	48	0	45	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
20	101	0	1	0	0	55	232
0	0	0	0	0	0	0	0
0	15	0	0	13	128	42	0
211	23	25	219	112	72	445	167
0	0	0	0	0	0	0	0
62	110	205	12	168	92	106	226
23	79	70	0	0	67	20	0
0	0	0	26	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	72	35	0	0	0	0	0
0	0	0	34	0	0	0	0
40	0	0	30	150	124	0	0
0	156	117	352	32	49	0	90
0	0	0	0	0	0	0	0
51	120	167	59	271	147	45	74
1050	1356	1091	754	1279	814	1630	1667
0	0	0	0	0	0	0	0
0	0	0	24	0	16	3	6
0	0	0	0	0	0	0	0
0	0	0	18	0	0	0	0
0	0	0	0	0	0	0	0
0	135	107	41	29	4	95	0
52	98	0	74	256	261	58	201
68	178	13	152	101	143	65	11
632	738	696	549	1689	1102	487	844
395	1629	1593	1462	3576	2370	1086	3114
86	93	0	178	160	316	242	300
7	0	8	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	10	26	0	0	0	0
11	0	1	23	0	0	10	0
0	13	0	0	0	0	0	14
0	10	0	0	57	0	0	81
0	221	12	32	60	70	57	61
0	0	16	60	6	59	2	6
63	122	120	0	0	0	39	55
171	98	90	376	410	264	133	509
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2
0	0	0	0	0	0	0	0
0	1	0	0	92	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	4	0
136	95	71	171	75	140	200	18
0	0	0	0	0	0	0	0
24	191	47	83	272	48	114	220
562	829	853	619	717	527	405	773
0	0	0	0	0	0	0	0
19	4	0	41	5	8	110	152
0	0	0	1	0	0	0	68
0	11	0	0	60	0	0	0
157	51	94	116	374	166	116	772
49	64	4	17	44	0	0	157
0	66	0	0	0	0	0	0
41	71	0	18	0	24	0	2
0	68	1	9	89	18	49	45
97	303	220	176	358	164	0	100
0	13	78	0	30	23	0	39
57	27	0	46	76	0	0	29
0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0
77	302	104	18	7	94	122	16
0	0	0	0	0	0	0	0
0	24	0	0	0	0	0	25
508	815	1148	128	1155	701	270	2116
4	0	0	0	0	46	0	0
86	82	23	130	102	332	1	122
0	0	0	0	0	0	0	0
61	17	28	113	37	0	0	56
0	35	10	0	0	66	305	12
6	60	25	76	1	0	38	209
14	34	86	9	119	26	64	107
0	16	0	18	45	61	268	0
0	39	0	18	9	35	13	50
0	1	76	53	114	0	0	0
76	122	229	147	84	72	15	1
0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0
13	9	0	33	0	0	0	0
