25	36	213	244	209
0	0	0	9	17
1	44	1	58	37
0	0	0	0	0
0	0	0	0	0
8	0	0	20	0
0	0	0	0	0
2	0	0	14	7
91	58	120	104	185
0	0	0	0	0
0	0	0	0	0
27	142	598	110	311
54	5	145	296	67
19	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	7
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
68	40	60	90	78
95	44	93	268	181
40	22	279	91	116
232	397	104	1013	392
3	0	0	0	0
121	154	285	216	215
0	0	0	17	0
31	14	41	46	58
52	29	133	36	93
0	0	0	0	0
2	25	77	0	64
8	0	44	76	47
0	0	3	32	35
54	98	159	106	128
0	0	0	0	0
0	0	0	0	0
28	39	53	18	0
20	23	27	19	39
11	0	4	0	7
9	3	20	29	21
3	2	0	65	0
2	6	1	4	0
56	24	27	65	76
17	0	81	4	6
23	18	59	171	71
0	42	0	0	76
5	12	0	59	36
0	0	0	0	12
2	0	0	0	0
0	15	0	0	0
3	7	0	0	6
0	0	0	41	5
3	0	0	0	0
10	0	0	0	0
16	23	29	75	52
2	0	0	0	0
27	22	2	0	65
34	90	48	63	99
4	0	0	45	38
74	11	208	165	103
14	16	91	10	103
2	3	0	0	27
0	0	16	3	2
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
12	11	0	0	62
13	78	78	33	49
173	402	305	52	487
0	0	0	0	5
71	91	214	218	254
228	159	367	362	372
0	0	0	0	0
8	0	0	0	0
0	0	0	0	0
0	1	0	2	6
0	0	0	0	0
38	39	58	196	56
97	144	193	235	383
24	32	156	78	84
838	242	471	799	787
561	1108	597	1079	1804
37	76	128	130	128
0	0	0	0	0
1	0	0	0	7
0	0	0	50	0
0	3	0	0	0
13	1	101	0	0
0	0	11	0	1
0	0	0	0	47
1	20	33	115	90
91	20	73	69	156
0	14	0	27	29
76	43	256	0	156
0	0	0	0	0
0	0	0	0	0
14	7	121	65	18
5	0	0	1	0
32	30	152	68	138
0	0	6	13	0
1	0	0	0	1
72	20	107	0	51
1	0	0	0	0
