0	0	0	0	0	17	0	19	0	0	0	0	0
0	0	0	0	0	6	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2	0
0	0	0	0	0	0	12	0	0	0	0	0	0
0	0	0	64	0	0	0	44	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
169	24	37	363	75	258	331	365	360	0	391	416	134
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
180	2	0	105	179	404	356	875	72	0	174	51	1
119	1	0	90	19	224	0	607	66	123	315	39	228
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	15	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	12	0	0	1	0	0	0	0	0	0
0	7	0	0	0	261	5	82	0	0	1	130	396
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	30	0	0	0	1	0	0	35	0
0	0	0	0	0	0	0	0	3	0	0	36	0
72	0	0	642	20	383	28	813	147	160	508	628	164
9	21	31	240	22	496	51	460	86	129	226	245	103
0	2	23	114	1	59	223	203	0	107	0	91	0
161	14	285	1348	698	1226	893	1556	369	1484	939	1568	640
0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	248	105	169	24	123	217	186	88	354	0
0	0	0	0	0	0	0	14	0	0	0	0	0
381	18	185	385	147	435	37	955	10	292	10	371	59
4	0	90	173	1	107	1	462	0	102	2	281	17
0	0	0	4	2	2	0	6	0	14	1	2	0
0	1	42	144	60	0	48	126	66	40	11	113	32
36	8	18	234	59	137	227	462	152	328	317	70	0
0	0	0	0	0	0	19	24	50	177	0	69	56
156	4	138	1045	376	579	631	665	406	831	504	700	191
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	9	0	0	0	0	0	0
0	0	0	0	0	0	89	136	63	149	0	49	0
0	0	0	0	0	0	0	0	0	0	0	0	0
