14	97	0	84	17	144	0	58	205	0	92	116	26	69	81	61
0	9	36	0	13	0	18	0	11	0	0	0	0	8	0	0
0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	10	4	0	0	0	21	0	18	7	0	11	6	5
1031	500	1926	446	524	1246	948	329	1200	439	556	915	213	860	867	2871
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
751	487	1107	227	330	374	630	210	433	38	536	311	251	600	368	421
61	0	0	0	44	0	106	83	28	0	0	0	0	0	15	0
0	0	0	21	57	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	22	0	0	0	0	0	47	0	0	0	0	0	0	0	0
88	0	0	121	113	0	57	0	0	0	148	7	0	39	283	11
291	174	296	67	158	129	255	302	140	82	169	259	348	278	80	1070
176	99	0	178	327	313	263	179	237	112	181	434	175	187	225	501
251	207	0	173	234	145	163	410	446	81	135	522	221	394	340	780
2368	1384	1672	900	1960	1076	855	1479	1924	537	2150	2106	645	1774	1465	3777
0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
543	289	437	148	562	88	229	122	428	0	651	481	192	291	342	257
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
2	148	1059	112	146	110	340	95	1	79	110	131	81	105	44	186
136	200	86	95	272	145	126	0	265	739	65	568	200	236	264	596
15	6	9	2	2	10	11	5	7	0	7	8	2	18	5	31
0	103	632	83	165	74	135	220	91	0	92	165	164	203	106	275
310	333	262	172	184	137	638	344	246	1	546	401	108	401	339	1024
0	0	0	14	0	2	0	0	0	0	0	0	0	1	0	0
826	427	695	348	636	542	634	405	1048	42	742	731	237	727	855	1305
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1	3	4	0	2	15	5	144	35	50	0	55	42	157
0	38	0	78	12	146	77	167	24	607	111	22	0	14	90	256
0	0	0	0	0	21	0	0	0	62	0	0	0	0	0	0
32	29	62	36	58	31	77	136	19	3	41	51	7	113	115	56
0	0	0	0	0	8	0	90	3	0	0	0	0	0	0	157
23	0	0	29	6	74	1	0	63	0	27	28	0	17	57	0
446	523	537	474	608	1060	291	690	520	0	421	756	495	502	422	386
0	0	0	0	0	0	0	0	0	0	0	72	0	0	37	0
12	38	0	0	9	0	0	59	0	0	0	77	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3	0	0	32	46	43	0	0	0	24	43	22	0	32
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	27	7	0	0	0	3	11	0	18	0	0	0	153
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	65	0	21	0	0	56	0	0
109	13	0	62	40	194	1	46	24	94	63	22	123	149	90	309
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	18	0	0	0	19	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	13	1	0	0
96	50	0	119	72	83	0	0	176	0	76	84	38	149	49	608
71	111	823	56	48	263	245	197	229	20	164	178	0	168	120	293
184	335	267	176	311	346	281	209	591	76	429	359	316	299	194	879
0	2	0	40	0	69	0	0	0	0	1	79	0	29	40	360
0	64	0	0	69	0	0	32	137	0	0	106	0	0	0	0
0	1	0	0	14	0	1	0	0	35	0	22	1	26	0	95
