0	0	0	0	0	0	4	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	1	0	0	0	17
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
50	123	19	300	302	400	390	368	1982	191	1082
0	0	0	1	0	1	0	2	19	3	4
0	0	0	0	0	0	0	0	0	0	0
72	18	42	164	275	75	95	117	755	54	422
11	7	13	0	56	157	118	97	200	0	880
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	70	0	0
0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	7	0	18	0	0	0	37
0	0	0	0	0	25	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	54	0	0
5	9	8	0	48	20	57	0	153	0	228
0	0	0	3	0	1	0	16	0	0	180
24	21	6	79	98	63	62	44	15	45	637
29	40	33	166	220	97	145	139	1085	38	1030
5	8	12	55	61	0	35	35	605	111	185
79	75	103	183	456	243	214	217	3085	291	3353
0	0	0	0	0	0	0	0	0	0	0
29	17	23	99	321	160	166	213	62	158	492
0	0	0	0	0	0	0	0	0	0	0
35	66	61	173	348	192	141	323	1871	10	1765
1	15	43	17	80	25	113	42	1284	113	174
1	0	1	5	6	4	0	9	40	7	18
1	11	47	1	93	33	132	80	25	3	651
14	40	9	64	133	54	86	18	852	14	1006
2	18	14	14	37	34	0	1	73	0	110
53	43	48	197	355	381	122	69	2184	79	2640
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	4	0	0	0	0	15	0
0	0	3	0	0	1	0	0	1	79	0
0	0	0	0	0	0	0	0	90	0	0
3	1	2	3	37	7	0	15	149	22	84
0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	1	0	0	29
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	396
0	0	15	0	0	0	0	0	0	0	116
0	0	0	0	0	0	0	0	0	0	0
0	8	0	1	0	0	15	8	0	41	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
17	19	15	144	103	54	206	35	422	5	419
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	1	2	0
0	22	8	45	311	105	60	77	1089	83	906
10	9	0	107	107	8	170	53	659	91	862
22	42	49	236	148	126	25	118	906	86	747
0	0	0	9	0	0	0	0	0	0	0
3	2	0	0	0	0	0	0	0	0	0
0	1	0	0	43	11	1	5	144	0	37
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
8	0	9	9	0	0	0	0	0	78	0
0	0	0	0	0	0	0	0	0	0	0
25	77	26	183	334	79	177	31	2021	5	613
1	13	1	61	175	107	38	6	62	64	229
0	0	0	0	0	0	0	0	24	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	129	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
10	27	16	49	153	67	71	43	243	13	940
16	0	0	25	25	105	7	72	220	63	164
31	97	33	100	201	108	133	75	1342	104	1849
107	160	105	503	794	319	266	448	3077	347	7477
