0	0	6	0	0	0	0	0	2	1	0	0	0	0	0	7	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	8
0	0	0	7	0	0	0	0	0	0	0	15	0	0	0	31	0	0	0	0	0	0	0
3	1	7	5	0	0	1	0	12	15	35	0	0	0	3	63	1	0	47	0	0	0	100
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	5	289	62	232	4	59	42	117	133	107	84	36	0	290	417	2	83	303	6	163	147	274
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	10	66	175	108	10	3	1	67	58	99	83	357	8	103	87	24	1	298	41	484	269	540
12	6	69	83	0	0	181	6	33	40	42	38	0	0	0	450	0	0	179	36	31	13	253
0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8
0	0	0	7	0	0	0	4	2	1	0	0	0	0	0	0	0	0	4	0	0	0	18
1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2	0	46	8	0	0	0	16	13	30	28	0	0	8	1	0	1	85	23	196	19	25
4	0	2	0	0	0	24	0	7	7	16	8	120	0	0	2	1	0	41	1	6	16	73
69	65	369	446	335	9	438	33	134	195	375	151	252	1	105	602	12	12	610	395	698	151	1129
81	48	506	237	388	20	287	149	152	243	213	222	266	0	70	1060	7	820	704	328	1497	382	1392
2	5	93	39	28	1	0	21	9	14	46	10	70	6	0	68	2	3	81	6	69	59	83
319	217	2407	1277	1761	22	363	363	708	1057	1483	1276	1797	26	943	3014	49	958	3348	1141	3839	1605	5316
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	22	367	231	11	9	205	72	100	187	289	196	133	3	102	445	4	188	276	144	1207	178	722
0	0	1	3	16	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
74	69	443	405	687	4	147	148	176	266	398	265	2	40	65	692	34	793	584	393	1648	349	1697
6	6	33	40	147	0	100	2	28	37	113	4	0	2	0	187	4	143	97	5	254	18	340
1	0	10	6	14	1	0	5	4	4	7	6	5	0	5	15	1	5	8	0	15	5	17
12	6	41	16	18	1	9	0	17	28	31	11	0	0	0	228	1	0	82	62	240	93	156
67	32	443	242	265	2	106	91	76	125	205	35	217	15	130	294	9	0	348	162	1223	271	1065
15	6	244	31	14	10	169	23	42	64	68	149	3	0	18	71	2	15	205	33	260	72	300
142	123	729	468	27	4	321	165	175	289	604	401	886	5	373	1285	10	847	1024	364	1818	434	2400
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2	0	1	24	0	0	0	0	0	0	0	0	7	0	0
8	50	133	232	796	0	63	37	61	97	91	90	0	2	14	230	8	269	289	320	539	217	701
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4	1	18	5	24	0	0	1	4	8	5	10	0	0	2	4	1	299	41	0	73	3	24
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	2	0	2	0	0	0	0	11	1	0	0	0	0	0	0	0	27	0	0	13	2
0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0	0	5	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	8	3
0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	6
0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	1	0	1	2	78
0	0	0	0	0	0	0	0	1	2	8	14	0	0	0	4	0	0	22	0	0	0	10
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	5	2	7	0	3	2	6	8	2	19	0	0	0	93	4	4	10	0	48	38	75
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	1	2	9	8
7	10	37	77	39	11	2	27	23	52	26	20	0	0	6	5	2	0	61	53	175	121	217
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	14	2	1
0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	10	0	0	0	32
52	31	546	254	405	0	10	73	169	292	462	377	669	0	338	742	5	4	754	219	1666	433	1202
17	11	84	59	130	7	3	8	15	56	119	70	100	0	57	50	0	19	117	21	293	122	205
6	11	64	66	92	0	93	25	53	66	117	43	0	1	8	134	4	0	310	3	92	79	216
0	0	12	0	0	0	0	0	3	6	0	0	0	0	0	1	1	0	1	0	0	6	0
1	0	1	0	0	0	0	31	8	22	19	18	0	2	11	9	1	0	25	74	122	17	177
2	1	3	20	1	6	0	2	8	61	34	4	0	0	81	20	0	0	59	35	18	22	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	1	0	0	0	0	0	0	34
1	4	5	1	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	26	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	1	21	6	4	4
24	5	22	99	221	1	8	97	41	62	58	127	4	1	0	219	0	167	285	9	280	113	471
68	51	502	338	135	18	107	44	163	333	372	200	216	9	188	375	22	503	762	545	2918	420	1695
0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0
1	5	58	0	4	0	1	10	16	17	43	15	47	0	45	96	1	0	35	35	149	5	103
