0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	11	0	43	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	1101	1155	793	334	1530	282	284	1340	1370	219	211	661	345	1539	166	75	599	357	1347	91
0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	371	384	910	225	900	118	0	892	497	201	139	559	22	516	129	9	465	319	480	19
154	204	96	460	69	1	164	0	402	71	238	35	133	4	271	111	16	31	25	463	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	0	52	0	0	0	0	0	6	0	0	0	0	3	0	0	0	2	0	0
0	19	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	11	0	21	9	10	0	0	72	48	0	22	0	9	184	8	3	42	12	0	0
0	20	7	0	5	0	0	3	57	0	0	0	0	0	80	0	0	0	18	0	0
132	179	425	505	112	115	0	8	81	406	63	78	0	25	55	78	6	19	22	157	3
86	44	135	698	138	107	40	192	101	215	360	87	134	7	153	50	5	9	42	115	2
88	405	48	175	28	159	0	1	152	98	78	29	168	23	109	24	11	140	18	254	11
259	1085	1087	2158	516	998	695	864	884	1236	516	420	508	290	758	173	75	929	348	1500	40
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	155	369	707	88	229	87	103	192	120	70	98	74	196	401	59	5	104	232	242	14
