105	0	22	0	0
0	6	0	0	0
7	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	3	0	0
0	0	0	0	0
18	0	0	2	0
352	24	162	128	169
0	0	0	46	1
0	0	0	0	0
178	47	102	225	633
0	150	42	0	10
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	3	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
98	153	0	293	0
73	85	169	0	0
421	4	502	602	804
87	41	87	19	277
775	380	233	621	98
833	260	438	161	465
0	0	0	0	0
239	245	272	373	647
0	0	3	0	0
1	43	0	2	0
319	171	236	72	292
0	2	1	0	0
459	29	194	608	51
977	1617	356	1069	156
3	201	0	0	118
729	423	628	359	729
0	0	0	0	0
0	0	0	0	0
0	0	64	160	52
0	202	0	54	77
144	62	10	44	108
54	3	3	198	17
0	0	0	0	0
0	7	117	255	0
342	129	73	170	175
0	0	0	0	0
0	35	0	0	33
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	0	0	0	0
0	0	0	0	0
219	131	49	23	7
0	0	0	0	0
0	0	0	0	0
0	0	18	0	0
110	25	0	0	33
538	55	191	0	173
242	11	80	80	36
0	0	0	2	0
1	0	0	0	19
0	0	0	0	131
0	0	0	0	0
0	0	0	0	0
0	0	50	0	12
3	0	0	200	0
1	0	0	0	0
3	118	0	37	0
67	100	121	211	44
0	0	0	0	0
1	0	10	1	0
44	4	0	49	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
415	285	984	4	63
0	33	0	139	14
703	677	387	2958	1328
2375	1034	517	816	679
2774	536	413	844	1492
542	177	22	189	190
0	0	0	0	0
1	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
161	258	70	14	134
820	96	21	93	127
1	16	67	2	146
129	134	76	0	0
55	1051	120	558	80
0	0	0	0	0
0	0	0	0	0
230	147	46	0	58
204	32	164	0	5
1	12	0	0	106
0	0	0	0	14
3	0	0	0	1
0	203	1	50	25
290	239	64	120	235
184	37	87	105	164
334	503	212	27	346
0	0	36	0	0
46	586	149	11	134
0	0	69	0	78
57	2	0	2	2
273	384	591	1900	372
17	191	68	4	44
0	0	4	0	0
2	0	0	0	1
534	3	107	7	84
4	1	72	0	243
0	129	34	335	0
0	0	0	0	0
0	0	0	0	0
0	2	0	0	0
0	0	12	0	130
0	0	0	0	0
307	1185	280	78	96
3763	1708	1051	1256	1494
142	59	0	0	0
75	14	27	104	92
28	14	6	1	39
261	119	116	2	79
1393	656	895	367	103
3	48	184	0	29
2	135	0	0	0
79	0	8	120	184
0	0	14	0	0
63	200	116	466	81
458	213	253	35	206
0	0	0	0	0
149	36	8	15	17
41	1	13	0	0
61	341	111	158	0
85	32	33	17	2
0	0	0	0	0
29	0	1	0	2
126	113	92	0	379
0	0	0	0	0
185	48	32	186	102
325	179	327	0	75
252	137	330	47	476
0	0	0	0	0
17	222	49	603	284
121	106	185	0	114
0	0	0	0	9
0	0	0	0	0
5	1	0	386	2
2	494	106	203	147
127	4	61	67	104
29	114	0	0	0
0	0	1	0	0
149	28	67	0	70
134	144	208	517	2
9	0	0	0	0
294	114	74	179	347
0	0	0	0	0
1	0	0	0	0
0	0	0	0	0
0	0	0	0	0
112	328	169	30	277
0	0	0	0	0
759	892	789	704	643
27	144	13	0	157
14	31	13	0	48
0	0	0	0	0
1	3	22	3	7
0	0	0	0	0
773	576	185	247	156
90	37	0	1	68
0	40	0	0	35
0	0	0	0	0
414	35	70	0	24
422	124	106	69	149
1250	1077	395	278	387
72	14	59	0	356
0	0	0	0	0
14	0	23	6	0
1	19	24	0	0
5024	2713	842	1307	1207
0	54	71	1	133
0	45	37	0	0
0	57	0	0	0
16	0	0	0	0
0	0	0	0	0
0	0	5	0	0
0	0	0	0	35
163	349	0	135	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0
0	0	36	176	2
0	0	0	49	519
1857	1698	1025	748	1211
286	1865	626	13	586
0	0	0	0	0
0	0	0	1	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
7	0	0	0	0
0	0	0	0	0
247	190	0	25	34
0	0	0	0	0
0	0	1	41	0
0	0	0	0	0
11090	2843	5034	2117	7308
1	0	0	0	0
0	0	0	0	0
8253	2246	4439	2181	5144
1	0	1	0	0
1	18	0	0	0
0	0	0	0	0
1512	850	455	488	625
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
35	8	0	108	83
0	0	0	0	0
391	368	170	44	24
0	0	0	0	0
2	1	0	0	0
0	6	0	0	0
306	48	12	6	72
573	938	509	1212	468
994	330	54	425	313
0	0	0	0	0
736	469	365	70	68
207	873	789	542	724
0	0	31	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
194	103	111	179	248
161	316	132	0	342
280	77	230	2	466
0	0	0	0	0
0	0	0	0	0
217	76	1	361	186
14	67	208	0	30
75	3	0	23	0
0	14	23	20	19
65	247	59	0	7
166	70	45	289	41
0	0	0	0	0
0	0	0	0	0
76	4	8	4	0
0	0	0	0	0
216	23	118	1	11
0	0	0	0	0
201	98	481	53	185
385	0	260	576	0
0	0	0	5	0
133	76	129	282	22
308	259	236	58	315
0	0	0	0	0
0	0	0	0	0
0	0	1	0	0
163	298	162	46	242
0	0	0	0	0
89	8	33	31	2
39	0	0	0	18
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
338	101	3	0	2
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	29	0	29	0
0	0	0	0	0
0	0	0	0	0
0	19	0	65	67
203	96	724	4	133
0	0	0	0	0
0	8	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
4	0	0	0	0
0	18	0	0	0
0	0	0	0	0
1	0	0	0	0
0	0	0	0	0
0	24	0	0	0
179	0	0	0	22
0	0	108	0	0
2	0	25	0	0
0	0	0	0	0
0	4	0	0	0
