131	5	170	116
54	0	0	0
103	4	0	34
0	0	0	0
0	0	0	0
0	0	0	10
0	0	0	0
0	0	0	0
61	0	33	13
0	0	0	0
0	0	0	0
37	5	213	180
0	0	56	0
0	0	0	0
0	0	0	0
0	0	0	0
21	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	25	0
110	0	51	241
163	2	285	109
127	0	10	81
390	55	305	311
0	0	0	0
81	8	114	89
0	0	0	0
198	0	0	108
0	3	19	0
1	0	0	1
32	0	45	0
1	1	0	113
45	0	0	9
459	27	140	322
0	0	0	0
0	0	0	0
0	0	1	0
568	1	178	366
0	0	0	0
34	1	46	21
0	2	0	0
22	1	0	0
108	0	0	0
0	0	2	0
0	0	0	7
0	0	0	0
72	0	82	26
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
1	0	0	3
0	0	0	0
0	0	0	0
123	8	83	61
0	0	0	0
0	0	39	0
161	0	273	367
0	0	0	0
102	3	65	0
0	0	0	43
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	4
0	1	0	26
249	17	46	176
111	0	60	219
0	0	0	0
305	13	188	138
286	6	132	301
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
202	0	77	1
301	0	0	60
465	4	136	137
509	24	574	446
717	40	530	1403
70	9	129	148
0	0	0	0
0	0	0	0
0	0	0	0
7	0	10	0
184	0	57	3
0	0	0	0
0	0	24	0
0	5	81	82
0	5	56	16
0	0	24	0
71	0	72	47
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
24	4	33	64
0	0	0	1
0	0	0	0
39	2	159	13
0	0	0	59
41	3	96	189
288	26	292	234
0	0	0	0
207	0	60	44
0	0	0	0
13	0	0	0
344	6	22	111
10	1	11	0
0	0	0	0
100	2	102	108
53	1	38	141
0	1	0	21
0	0	0	0
0	0	7	1
0	0	0	0
0	0	0	0
4	0	65	11
0	0	0	0
0	0	0	22
451	27	432	728
0	0	0	0
0	2	36	80
0	0	0	0
143	13	178	0
84	4	30	27
95	4	15	111
3	2	113	34
57	5	67	0
34	1	10	20
0	0	0	0
15	0	45	51
0	0	0	0
