0	0	3	0	0	1	1	0	5	0	2	2
0	0	0	0	0	2	0	2	0	1	0	2
1	0	0	0	0	3	0	0	0	0	0	0
0	0	1	0	0	3	1	0	1	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0
0	0	3	0	36	39	21	4	5	0	8	12
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
357	47	16	20	41	159	166	163	711	68	29	86
0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0	0	0	0	0	0	0	0	0
239	60	36	36	43	82	139	54	265	30	28	9
51	29	8	32	39	35	78	26	87	14	10	14
0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	3	0	0	0	0	0	0
0	1	0	0	0	13	0	0	0	0	0	0
6	0	2	6	2	43	8	4	10	0	0	6
11	0	0	0	0	2	0	3	41	9	3	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	0	0	0	0	0	0
16	41	1	72	11	16	59	8	23	10	6	17
14	6	10	0	19	11	12	2	33	0	13	33
304	85	61	100	340	175	203	207	567	58	67	197
419	59	55	110	217	793	242	84	404	46	101	90
51	12	5	4	29	12	2	12	21	9	0	7
2391	395	289	481	928	727	1426	1190	3225	294	552	1005
0	0	0	0	0	1	0	5	0	0	2	0
329	96	40	151	122	115	214	190	475	54	84	148
6	0	0	0	0	0	0	0	0	4	0	0
453	148	116	132	249	198	439	204	687	143	131	141
141	41	0	16	5	83	16	44	286	8	26	45
6	4	1	4	5	3	6	0	9	0	2	3
79	17	13	11	25	48	30	21	65	12	14	34
221	70	43	72	138	65	122	53	478	32	35	66
41	16	5	19	14	74	20	46	166	20	15	26
949	105	80	115	325	265	456	284	849	59	187	284
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0
17	25	35	23	76	134	9	13	223	1	11	8
0	0	0	0	0	1	0	0	0	0	0	0
12	4	1	3	13	17	16	6	69	2	8	16
0	0	0	0	0	0	0	0	0	0	0	0
3	10	3	0	4	6	3	3	25	0	0	0
0	0	1	0	0	1	0	0	1	0	3	0
0	0	0	0	1	9	0	0	43	0	0	16
0	0	1	0	0	7	0	0	0	0	0	9
0	0	0	0	1	6	0	13	27	0	0	0
20	3	1	0	6	7	7	1	4	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0
32	0	1	7	4	60	39	6	50	4	4	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
8	4	1	9	2	19	28	6	32	5	10	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	8	0	0	0	0	13	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0
377	97	112	92	218	316	332	244	849	128	154	310
70	60	8	19	63	39	175	37	228	20	29	23
117	30	36	27	43	74	96	55	315	30	21	103
3	0	0	0	0	10	19	4	26	3	7	0
0	0	4	6	4	29	13	6	5	22	7	0
65	18	7	0	40	106	139	74	142	19	12	22
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	3	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0
2	6	0	1	2	14	9	5	15	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
42	43	4	17	10	90	83	28	117	33	17	23
341	176	98	327	149	323	379	170	398	63	62	103
0	1	0	0	1	2	1	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0
1	2	0	1	0	9	0	0	0	0	0	0
64	6	9	13	57	55	21	68	48	5	3	57
0	0	0	0	0	0	0	0	0	0	0	0
271	109	28	115	96	115	230	57	494	29	38	91
31	0	6	19	0	21	30	27	84	2	21	10
577	157	81	202	308	197	441	110	783	30	83	191
1171	249	122	164	528	568	555	415	1319	167	227	460
913	161	113	289	393	317	527	408	1389	104	168	404
465	50	78	94	194	194	270	211	463	108	164	238
0	0	0	0	0	0	0	0	0	0	0	0
955	212	161	86	848	340	1337	514	2440	225	214	735
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	1	0	0	2	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0
