0	30	8
0	0	0
121	75	40
0	0	0
0	0	0
157	58	173
0	0	0
7	0	3
530	288	326
0	0	0
0	0	0
92	247	387
393	237	253
55	0	13
0	0	0
0	0	0
0	0	2
0	0	0
0	0	0
0	0	0
0	25	0
0	19	0
135	214	127
138	103	200
16	35	21
6	166	179
11	0	0
36	45	3
0	0	10
90	51	82
14	72	0
0	0	0
21	1	73
3	1	0
103	69	51
174	198	164
0	20	14
0	0	0
67	61	128
141	305	216
14	0	36
8	36	71
55	71	79
0	0	4
6	68	5
192	108	56
139	127	117
17	75	53
183	174	160
0	0	22
10	0	0
0	0	0
3	18	2
0	0	0
2	1	8
44	40	18
289	333	327
0	0	0
0	39	95
178	256	117
141	29	15
447	418	370
390	711	445
10	0	23
0	0	0
0	28	0
0	0	0
0	0	0
181	78	67
269	574	283
56	100	266
0	0	0
675	615	641
3394	3923	3086
0	0	0
0	8	0
15	0	0
15	46	73
0	0	0
238	288	147
568	289	625
225	396	273
708	1366	757
398	266	606
225	172	258
0	0	45
10	0	7
64	82	77
12	22	16
60	192	168
16	39	1
0	30	2
45	0	114
205	256	162
50	147	109
0	0	0
0	0	0
0	0	0
18	11	10
0	0	0
546	416	761
0	73	1
2	1	3
27	123	373
4	0	0
491	648	721
79	183	128
0	0	77
15	13	127
0	0	0
4	0	8
101	13	62
45	37	23
0	0	0
120	111	109
649	601	841
135	237	237
70	98	2
21	57	120
1	12	0
17	0	27
311	84	211
0	0	0
0	0	0
0	99	0
0	0	20
1478	723	871
0	0	0
234	126	225
291	444	258
102	350	315
22	1	36
2	0	0
50	5	21
3	35	111
20	158	100
0	0	0
8	48	0
61	0	31
85	154	145
109	6	182
0	0	0
0	23	8
148	259	357
24	0	50
132	170	159
176	173	462
268	552	368
57	26	0
0	136	15
40	16	22
14	17	0
0	0	0
2125	2372	2111
195	131	177
5	0	10
261	263	358
0	0	0
0	43	237
71	88	103
0	22	0
576	1018	591
0	0	0
28	59	59
6	0	0
1	9	10
1311	1406	1641
0	0	0
53	18	50
196	108	92
36	53	33
6	3	12
0	1	0
0	0	6
340	363	310
23	8	29
26	0	79
0	0	0
93	112	77
0	0	45
280	236	304
7	16	92
28	0	0
34	7	47
0	0	18
292	198	222
0	58	56
0	0	0
0	99	145
0	0	0
0	0	0
0	0	0
0	0	0
0	22	5
0	0	0
0	0	0
0	0	0
0	0	0
18	28	31
74	192	35
130	53	92
10	64	25
0	106	1
0	0	0
0	0	0
0	0	0
0	0	0
2	11	0
0	0	5
0	0	0
0	0	0
0	0	0
2	43	150
21	0	0
19	0	7
0	0	0
2659	2392	2715
0	0	0
0	0	0
8323	8059	8722
1	0	0
205	173	187
0	0	46
23	48	71
0	0	0
0	0	0
0	0	0
25167	19958	19476
0	0	0
967	882	846
0	1	0
3	29	54
33	65	136
163	295	155
76	51	70
89	247	64
96	201	105
438	1070	464
62	242	215
127	257	125
0	0	0
0	0	0
0	0	0
22	52	242
3	269	65
0	60	1
0	0	0
0	0	0
13	0	19
93	45	100
633	289	521
1	4	3
73	158	83
417	666	500
0	0	0
0	0	1
0	0	0
0	0	0
24	201	83
0	0	0
690	480	338
226	209	361
49	75	110
257	197	302
465	860	301
20	7	32
56	121	116
146	191	273
663	1000	448
0	0	0
697	623	989
0	0	0
0	0	0
1	0	0
0	0	0
0	0	17
0	0	0
0	0	7
72	64	27
8	41	1
0	3	0
0	0	0
0	37	0
0	0	0
0	0	0
0	0	0
0	0	0
4	0	0
38	68	35
10	28	52
0	0	14
3	0	82
0	0	0
0	0	0
0	0	32
218	153	229
0	0	0
0	0	0
60	134	189
79	0	10
0	0	2
0	1	37
0	0	0
2	81	23
0	0	26
0	3	0
0	0	0
0	12	0
0	0	0
0	0	0
3	0	0
418	351	658
8	0	0
236	282	219
0	0	7
431	579	419
0	0	0
0	0	0
97	8	2
238	527	305
0	0	0
3231	3695	2381
0	22	94
25	0	62
0	0	0
277	467	350
0	0	0
1	0	14
0	0	0
180	18	51
13	0	33
0	0	0
0	169	21
5	26	2
0	0	0
0	27	0
29	2	10
84	23	157
9	0	0
884	377	636
0	19	0
177	181	215
0	0	0
746	715	1156
0	0	0
1	0	11
536	458	572
162	245	213
1543	3394	1459
0	0	0
6	16	2
0	0	0
0	0	0
0	0	0
12	0	0
332	263	397
0	0	0
0	0	0
0	0	0
86	15	51
0	0	0
28	0	0
0	0	0
152	279	215
102	286	206
0	27	0
155	141	84
0	1	0
17	10	12
2	0	5
79	51	255
268	454	421
114	24	158
162	0	0
54	0	1
0	0	0
0	0	0
0	0	0
0	22	0
15	0	1
2153	2017	1904
0	0	0
0	0	0
12	15	11
0	38	0
9	80	79
5	0	0
8	0	0
0	0	0
0	0	0
3	0	153
0	0	0
10	0	0
0	11	139
3	0	0
159	115	233
131	45	123
1212	972	1734
237	485	439
64	116	97
15	0	0
14	8	15
0	0	0
38	116	30
109	320	105
0	0	1
385	425	366
1235	1134	871
0	0	9
66	21	16
1060	1276	1314
35	74	9
115	37	59
617	632	709
28	4	54
58	280	124
0	0	0
9	122	274
0	0	0
23	28	26
0	0	3
234	143	163
3	36	0
0	0	0
0	0	0
87	56	137
0	8	0
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
11	0	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
17	54	110
0	0	0
0	0	0
152	116	234
343	113	364
410	358	89
878	468	756
56	23	61
53	120	42
108	232	175
88	192	253
853	1174	1390
4	27	62
0	0	0
87	24	65
96	5	153
121	254	219
12	41	31
0	0	0
79	108	45
257	134	295
348	262	262
130	161	60
5	0	2
0	0	0
60	41	67
0	0	0
0	0	0
132	358	141
0	0	0
0	0	0
197	225	282
0	0	0
0	0	0
111	328	155
41	29	47
543	385	675
103	61	51
18	12	56
109	61	122
298	100	163
0	28	16
4	0	32
0	0	4
96	3	41
2770	2002	2506
13	33	56
0	0	0
0	0	0
0	0	0
2	2	16
0	0	0
0	0	39
722	847	451
7	11	0
0	29	0
6	33	20
1573	1848	2358
0	40	27
0	0	0
0	0	15
177	237	251
374	321	506
0	0	0
0	0	0
0	0	0
0	0	0
1	12	14
134	102	258
100	46	261
31	10	146
114	160	140
203	258	231
9	0	5
0	112	58
2	20	61
369	443	250
1732	2248	1793
31	143	38
650	1096	769
0	17	10
724	1267	566
0	0	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
7	12	5
49	45	14
27	42	17
55	566	160
81	146	73
96	266	36
211	187	207
108	411	139
552	820	798
16	69	15
0	16	14
724	692	630
45	165	159
0	0	0
0	0	0
0	0	0
0	0	0
486	600	215
0	3	0
0	0	0
0	20	0
1	0	0
22	0	0
119	107	75
1	4	3
0	0	0
0	0	0
544	589	772
259	445	426
803	489	879
299	698	387
399	406	410
61	2	75
793	605	733
0	0	0
0	0	0
0	10	0
0	0	1
412	322	539
0	0	0
223	409	343
0	36	13
0	71	0
0	0	0
0	0	0
0	0	0
0	8	0
40	104	9
0	0	0
10	96	100
0	0	0
0	0	0
18	26	103
127	169	177
116	222	255
235	292	399
0	0	44
207	381	378
1391	1849	1689
0	0	0
0	18	0
1	0	0
0	0	0
0	0	0
1	19	16
158	61	56
77	114	156
0	33	0
0	0	0
0	0	0
0	0	0
42	27	84
103	33	84
0	0	0
0	72	52
88	4	65
36	45	42
11	1	5
70	8	82
1057	371	585
59	61	188
0	0	0
59	0	3
2248	1659	2349
0	43	27
423	227	377
0	0	0
3	0	10
2047	1990	1747
64	112	110
