0	0	8	2	22	0	0	0	0	15	0	0	0	0	11	6	40	8	16	0	2	0
0	0	0	1	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	0	14	3	85	0	0	0	0	86	0	6	0	0	0	0	0	0	0	0	23	0
0	0	1	63	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
6	50	58	20	79	2	1	10	0	10	0	0	92	2	0	9	20	0	0	27	2	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	56	277	226	602	116	243	306	8	411	197	337	322	52	378	190	937	216	134	403	43	127
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	244	22	92	414	0	299	385	9	338	30	217	109	119	56	166	295	304	0	471	5	67
35	53	50	0	322	101	25	188	1	148	63	20	63	40	82	36	94	98	0	4	4	98
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
0	0	0	2	1	6	0	5	0	0	0	0	7	0	14	0	0	0	0	0	0	0
0	6	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
3	42	8	11	40	22	0	51	0	7	0	14	0	0	42	4	25	5	5	11	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
0	510	157	42	19	34	0	93	0	0	0	64	125	0	17	11	86	30	0	47	11	27
7	23	0	24	76	25	15	91	1	123	16	144	53	0	115	95	212	130	0	20	35	39
67	1001	602	492	1234	101	334	459	8	937	117	921	506	193	722	653	1187	366	187	808	143	558
116	1212	508	498	858	444	663	842	9	255	555	423	530	188	593	440	756	407	181	2209	154	306
1	45	27	25	66	10	0	32	1	93	0	71	8	7	13	0	80	13	20	105	8	3
263	3415	1659	1390	4070	510	868	2397	98	2656	1020	2818	1904	545	3256	1640	4229	1765	502	3021	556	855
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
27	497	490	233	508	144	6	229	3	394	203	507	172	132	356	161	468	240	158	889	19	252
0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	1
143	2106	751	285	843	165	314	836	9	866	221	408	494	405	582	404	907	500	42	522	133	403
6	97	175	36	317	1	3	32	6	31	190	6	147	25	75	64	116	38	54	54	62	39
1	6	6	2	13	0	5	1	0	7	2	9	3	2	8	2	1	3	0	9	0	5
12	109	77	17	86	16	79	77	0	26	115	106	23	100	11	0	97	103	24	182	33	40
69	696	322	254	659	112	268	131	4	509	188	124	301	25	389	219	549	271	217	833	126	134
58	66	358	137	724	103	289	138	4	224	66	159	688	151	425	162	450	218	296	504	114	14
87	1199	480	513	1346	154	598	362	13	1032	501	773	368	227	616	502	1248	226	215	1497	140	419
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	4	90	0	15	25	0	29	0	23	0	0	0	0	23	0	0	0	0	0	0	0
47	20	40	21	363	0	30	34	2	33	599	383	93	0	133	8	86	150	1	146	76	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	109	62	48	176	52	17	25	0	54	24	72	13	2	106	33	103	10	0	17	8	9
0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
3	2	17	6	71	1	54	56	1	0	0	0	0	0	43	20	16	96	0	0	5	1
0	10	0	0	37	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
0	0	0	0	0	0	0	12	0	0	0	0	0	3	7	0	0	0	0	45	2	0
0	0	0	0	25	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	3	0	0	0	0	0	1	0	0	31	0	27	0	0	1	0	0	0	0	6
3	0	0	4	44	30	0	13	0	0	0	0	0	0	0	0	0	39	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	39	8	0	49	10	21	22	4	0	72	0	31	6	27	16	71	19	0	0	21	26
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	42	22	72	55	0	31	101	0	17	99	13	101	33	145	24	137	45	0	134	7	39
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	2	3	0	1	0
235	1227	644	234	1223	94	153	913	12	656	310	740	1061	263	1219	474	1533	765	224	1498	122	462
2	149	0	26	132	48	102	13	0	63	117	1	131	19	5	0	10	52	0	16	4	1
18	572	235	139	633	62	195	521	6	284	52	358	132	111	280	249	911	168	5	385	47	227
4	47	50	0	157	5	0	0	0	6	0	0	0	18	0	0	21	0	0	0	0	0
8	61	64	15	173	113	3	157	0	47	69	23	5	39	34	89	114	45	0	0	18	52
14	1	132	36	383	74	28	76	3	27	189	73	99	2	140	81	90	117	1	0	52	51
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	7	82	0	1	4	0	41	0	5	0	0	18	0	51	0	0	0	0	0
3	54	7	54	98	0	0	50	0	12	163	16	0	0	1	0	3	0	0	0	5	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	0	37	1	1	21	18	87	0	39	0	0	77	0	0	23	47	11	71	94	0	0
136	1187	288	265	975	253	228	493	14	189	92	322	764	191	562	335	715	193	139	1218	57	59
0	0	0	0	0	0	0	0	0	0	12	0	6	0	8	0	0	0	0	0	0	0
0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
12	114	37	4	179	57	29	53	2	27	0	41	47	48	11	7	138	57	0	60	13	51
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
45	459	333	306	492	203	201	192	2	391	327	303	816	210	531	512	803	227	167	315	73	322
16	62	0	4	87	17	0	0	0	119	72	177	3	0	83	14	66	66	0	17	12	19
139	1089	605	712	1293	241	484	848	3	888	570	945	875	211	963	588	1149	727	408	1967	184	428
166	2011	730	993	1371	586	1511	1067	27	1329	1406	1749	1113	656	1342	897	1827	1005	665	3518	348	922
147	1783	633	506	989	198	559	553	11	947	93	1242	567	202	1252	708	1353	723	286	1984	156	433
42	942	465	210	823	109	289	280	1	718	62	461	273	210	408	381	929	344	355	786	103	441
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0
234	1693	1163	1109	2782	769	426	719	6	1901	106	402	1874	203	1738	921	3134	503	1242	2797	243	560
0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
