0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1264	118
45	0
0	0
639	145
0	1
0	0
0	0
0	0
20	0
0	0
0	0
0	0
0	10
0	6
174	23
166	53
365	42
2184	249
0	0
182	48
1	0
57	50
1176	60
23	1
76	10
56	29
10	6
582	77
0	0
0	0
0	0
25	1
0	0
0	4
0	0
0	6
35	1
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
114	9
0	0
0	0
0	0
1042	78
149	8
1500	96
0	0
0	0
57	3
0	0
0	0
206	14
46	3
0	0
132	3
244	33
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
189	10
212	13
236	20
1984	107
1070	86
1973	150
0	0
0	2
0	0
0	0
0	0
0	0
100	6
563	76
110	19
27	6
6	0
1	0
0	0
240	11
16	0
0	25
0	0
1	0
94	7
80	17
126	29
360	28
0	0
0	21
255	8
0	0
344	29
164	7
0	0
0	0
429	40
168	1
1	5
0	0
0	10
0	0
24	20
0	0
46	2
1052	122
0	0
260	32
0	1
546	4
794	93
115	37
0	0
42	24
0	0
65	9
439	5
0	0
75	4
635	44
53	13
256	19
0	0
0	0
171	21
0	0
101	22
946	105
368	8
0	0
163	1
306	7
0	0
0	0
0	0
371	62
276	29
0	15
0	0
0	3
208	2
0	0
780	35
0	0
0	0
0	0
0	0
562	81
0	0
416	37
416	66
1231	113
0	0
661	18
0	0
1	48
0	0
0	0
0	0
236	32
454	15
1	2
211	6
0	0
0	0
13	11
1161	110
1001	28
0	65
0	0
147	1
45	2
0	0
0	0
0	1
128	8
0	0
0	0
0	0
402	1
0	0
1619	131
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	0
7	1
1	0
28808	4432
1	0
0	0
21103	2732
1	0
1	14
0	0
377	35
0	0
0	0
0	0
0	0
0	0
0	73
0	0
0	0
0	0
819	38
355	19
794	130
0	4
320	15
95	31
179	7
0	0
0	0
0	0
0	12
16	3
491	21
0	0
0	0
0	0
0	1
19	1
0	0
69	5
244	13
0	1
0	0
0	2
0	0
13	4
0	2
507	38
0	0
0	0
126	7
489	24
0	0
0	0
222	12
126	7
0	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
161	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
129	43
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
93	13
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
251	6
10	1
0	0
25	14
0	0
1	0
244	42
0	6
0	0
0	0
99	1
120	0
1	11
1201	95
337	57
20	25
0	4
0	30
0	0
35	0
