0	0	0	16	0	0	0	0	0	0	5
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
20	18	54	291	349	232	213	99	62	13	76
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
5	26	0	160	13	253	279	97	0	2	34
6	13	0	0	97	77	0	16	0	40	29
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	6	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	48	15	0	0	0	0
10	1	0	0	0	0	0	0	13	0	1
11	16	0	247	30	159	43	19	0	40	25
37	16	27	51	78	19	44	68	9	26	9
0	0	4	2	38	0	15	10	0	0	5
137	41	3	490	109	664	585	274	15	467	24
0	0	0	0	0	0	0	0	0	0	0
1	9	0	65	64	218	284	60	10	16	26
0	0	0	0	0	0	0	0	0	0	0
237	1	37	286	193	581	292	45	101	205	41
54	0	0	0	83	19	29	20	0	0	0
0	0	0	7	0	13	2	3	0	5	0
1	0	1	36	1	0	25	1	11	0	8
4	3	1	108	11	226	27	36	64	22	9
53	1	1	40	100	0	0	3	35	0	1
8	21	6	193	21	291	161	76	171	56	27
0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
22	1	43	50	5	0	22	7	0	1	10
0	0	0	0	0	0	0	0	0	0	0
0	0	0	24	0	70	17	6	5	2	4
5	0	0	0	0	0	0	0	0	0	0
0	1	0	16	1	0	0	3	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	9	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	7	0	5	11	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
33	0	0	10	45	0	0	19	0	0	14
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	1	14	47	53	0	37	49	0	8	30
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
36	5	10	252	64	1	0	107	95	8	25
2	0	60	0	33	6	10	13	0	0	12
1	3	4	2	0	0	0	10	0	0	0
0	0	0	1	0	0	0	0	0	0	4
0	0	0	25	0	0	0	9	0	0	0
17	1	0	30	41	0	125	1	34	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
97	3	29	49	19	0	0	49	8	21	21
