11	55	115	287	96	1	50	78	115	200	118
0	0	0	0	0	0	0	0	0	16	8
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	4	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	45	30	0	0	0	0	0	0
366	1116	3025	1450	1377	7	2459	499	2615	2095	802
0	0	0	0	0	0	0	0	0	31	0
0	0	0	0	0	0	0	0	0	0	0
219	1132	571	359	807	5	894	332	474	598	36
0	88	190	0	0	0	6	0	37	51	56
16	0	37	0	0	0	37	0	0	22	29
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	0	0	12	20	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
26	0	0	69	0	0	0	0	63	22	0
0	76	103	3	156	0	15	34	88	125	1
33	310	205	720	531	1	898	18	131	328	285
18	225	419	271	42	3	216	155	138	343	152
124	345	756	651	720	4	106	240	514	1518	254
971	2569	3862	2792	2435	26	3113	1707	2845	4113	3132
0	0	0	0	0	0	0	0	0	0	0
165	319	733	1086	233	4	833	793	783	1487	82
0	0	0	1	0	0	0	0	0	0	0
33	445	136	0	208	2	381	0	306	346	288
153	343	656	1241	579	8	178	157	529	787	26
3	5	5	4	10	0	29	4	26	4	7
7	169	51	233	195	0	148	178	224	133	0
63	472	548	341	481	0	468	274	479	562	150
6	75	166	107	68	0	271	150	6	151	47
268	849	2028	2214	939	6	1988	448	1947	646	1446
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
14	0	22	83	4	0	1	10	86	277	22
47	219	192	723	379	0	296	261	218	519	114
0	0	0	0	0	0	1	0	0	7	0
2	24	104	8	20	0	19	15	5	46	11
0	0	0	0	0	0	0	0	0	7	143
2	18	16	0	124	0	103	0	94	0	34
116	374	321	658	301	2	334	450	472	789	437
0	0	50	0	164	0	0	0	0	169	0
0	134	60	50	0	0	319	0	0	63	8
0	0	0	0	0	0	0	0	0	0	0
0	0	78	5	0	0	0	1	65	35	0
0	0	0	0	5	0	0	0	0	0	0
2	0	0	42	0	0	0	0	32	273	59
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	59	0	0	0	0	0	0
0	14	0	0	0	0	0	0	0	92	250
15	166	44	100	258	1	2	153	34	154	85
0	0	0	0	0	0	0	0	0	0	0
8	1	1	0	0	0	0	0	0	0	0
0	30	0	0	0	0	1	0	0	3	0
37	648	629	253	233	0	22	130	6	408	437
12	0	4	220	335	2	156	285	10	120	111
218	857	1084	914	1029	7	1170	349	699	465	590
