0	0	0	0	1	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
139	1084	740	179	1375	514
0	0	0	0	0	0
0	0	0	0	0	0
2	198	372	0	340	560
0	0	0	0	0	163
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	255	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	185	0	54	152	0
0	0	0	0	0	0
24	192	0	1	0	346
499	210	0	141	564	0
112	186	128	0	230	192
902	1211	873	1080	497	1221
0	0	0	0	0	0
35	488	0	653	157	0
0	0	0	0	0	0
1	500	0	501	528	288
475	833	5	0	974	43
0	13	0	0	3	5
119	184	0	0	87	0
35	155	0	0	150	423
0	1	0	0	0	0
937	435	721	0	235	0
0	0	0	0	0	0
0	0	0	0	0	0
0	5	0	0	7	29
331	306	0	517	55	201
0	0	0	0	0	0
208	0	43	41	0	13
0	0	0	0	0	0
31	59	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
14	42	0	0	37	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
434	67	1	0	195	0
0	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	0
18	426	3	599	147	249
180	400	236	0	413	0
187	802	433	364	1084	0
0	0	0	0	0	0
0	100	0	58	1	0
0	203	0	0	104	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
60	113	0	0	44	0
0	0	0	0	0	0
0	64	287	469	0	3
91	307	1	252	14	48
3	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
72	0	209	0	223	0
349	83	6	434	0	1
13	558	371	338	140	44
507	953	618	247	974	185
182	628	1428	677	292	339
107	535	0	187	262	0
0	0	0	0	0	0
41	163	1595	0	47	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
3	1	0	0	0	0
162	0	0	0	0	599
4	189	0	60	310	157
456	295	156	69	170	0
70	0	0	211	172	0
19	39	135	172	144	0
0	0	0	0	0	0
0	0	0	0	0	0
196	0	461	330	173	456
0	0	0	0	90	0
0	101	51	0	21	296
0	0	0	0	63	0
0	0	0	0	3	0
0	46	0	0	162	267
412	0	0	351	39	0
61	71	15	57	60	93
0	229	0	570	76	0
0	234	0	0	0	0
285	1	0	297	114	0
236	148	0	0	23	0
0	0	0	0	0	0
300	1	0	0	66	0
0	322	0	0	45	2
0	0	0	0	15	0
0	0	0	0	1	0
421	79	0	0	188	0
0	245	0	0	5	0
0	1	0	167	284	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
26	685	0	421	38	7
0	0	0	0	0	0
0	78	486	373	104	127
0	508	1049	3	564	246
