64	31	0	396	0	172	0	1
0	0	0	6	0	12	0	0
65	271	0	38	0	50	99	116
1	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0
63	107	10	12	346	11	0	219
0	0	0	0	0	0	0	0
4	0	0	4	0	5	0	0
288	375	344	36	508	105	184	431
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
252	692	136	57	739	127	405	1
224	132	145	95	147	82	203	27
0	1	0	0	0	34	34	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
64	222	384	76	226	84	391	0
123	279	203	145	229	70	376	65
0	0	0	19	1	37	0	103
5	69	0	134	0	125	310	45
0	7	0	0	0	0	0	0
73	118	39	110	1	203	350	130
0	0	0	0	0	0	0	0
34	279	496	45	13	14	229	369
2	91	0	31	1	15	69	71
0	1	0	3	0	0	11	2
140	202	22	5	1	40	71	0
21	55	76	0	30	23	18	239
31	42	0	1	0	0	0	24
25	132	378	40	0	105	205	72
0	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0
76	49	4	30	0	63	4	161
145	78	137	97	1	135	218	160
0	0	0	2	0	11	0	13
0	31	0	48	30	30	28	121
7	56	0	27	0	7	155	0
0	31	0	44	0	0	11	0
79	23	10	46	70	15	0	62
44	209	95	5	1	1	32	29
67	191	397	53	0	58	27	177
0	0	279	1	0	10	0	0
195	138	2	22	300	15	121	68
0	0	0	9	0	14	0	0
0	0	0	5	0	0	0	35
0	0	0	0	0	0	0	0
0	8	0	2	0	9	0	0
0	29	0	0	0	15	32	0
1	75	0	0	0	0	0	0
8	0	0	0	0	0	0	0
662	975	1682	180	1377	496	841	391
28	11	0	2	0	2	0	0
30	0	0	3	0	18	0	95
126	88	0	130	0	156	91	89
6	0	0	17	0	1	78	14
48	430	516	39	86	51	52	11
176	196	429	57	301	5	377	102
6	10	0	4	0	22	0	1
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0
33	0	0	0	0	5	0	0
98	209	281	21	0	99	215	191
98	164	598	146	0	124	142	32
131	70	68	24	361	65	24	0
0	0	0	0	0	0	0	0
362	1125	134	363	71	174	650	905
1062	1701	589	559	261	336	1243	1779
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
13	0	0	13	0	28	0	170
0	0	0	0	0	0	0	0
84	106	429	30	59	151	293	227
261	491	664	169	1262	209	853	431
161	439	29	110	267	298	384	328
213	1145	170	654	141	195	901	334
252	792	278	1192	63	953	458	425
117	17	102	4	0	81	156	2
0	0	0	0	0	0	0	0
0	0	1	0	0	2	1	0
18	17	0	4	0	43	0	0
25	6	47	16	0	25	0	42
32	114	194	53	0	23	67	50
0	28	0	0	0	11	0	31
2	0	121	0	0	0	0	0
4	155	132	16	0	57	41	253
120	195	175	107	6	98	86	47
96	289	217	43	0	35	189	0
2	0	0	52	111	25	0	0
0	6	0	0	130	3	0	0
0	0	0	0	0	0	0	0
2	136	275	39	0	35	0	152
240	12	0	14	0	0	30	0
118	254	164	21	653	88	147	1
0	0	0	0	0	0	0	0
0	7	2	5	0	0	0	0
116	548	106	76	124	52	496	2
24	0	0	6	0	0	0	0
237	538	1616	92	1438	281	380	453
172	272	160	96	27	46	486	0
54	0	0	0	0	0	0	0
31	286	0	60	0	25	126	50
0	0	0	0	0	2	0	0
10	0	0	5	0	11	0	0
57	119	463	9	614	32	3	95
22	82	146	14	0	65	9	0
0	24	0	0	0	0	0	0
74	387	241	41	149	44	168	367
432	877	1133	153	262	203	272	322
192	428	331	16	0	70	497	137
12	200	14	7	0	59	136	23
62	51	0	0	21	27	169	101
