14	2	30	11	115	15	93	15	64	143	23	0	0	101	18	0	64	109
0	0	9	21	5	6	0	10	7	14	19	0	0	4	0	0	23	7
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	5	0	0	0	0	0	9	8	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	6	1	0	14	3	5	6	3	14	4	1	0	0	18	5	13	2
305	466	637	685	595	563	685	770	860	469	393	741	613	1333	228	275	558	598
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305	320	518	262	366	556	376	424	490	1255	283	385	2	887	190	300	548	222
0	71	0	2	0	0	67	0	0	0	26	0	0	0	0	31	0	22
0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	7	12	13	0	15	3	17	17	0	0	0	0	5	3	11	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	13	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
0	0	24	0	64	48	26	0	27	0	19	19	0	38	0	0	0	0
429	279	88	659	278	369	135	142	166	540	28	361	117	375	149	235	372	111
168	75	117	460	188	157	129	122	21	142	157	220	0	57	100	47	140	231
590	301	232	391	530	236	740	334	486	324	179	423	338	735	188	505	782	493
2455	1751	1807	3392	2268	2140	2972	1294	2202	2702	811	1494	1969	2846	1751	1189	3987	1007
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
319	426	660	843	1155	848	847	206	182	588	346	559	228	1147	322	269	956	450
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	300	421	588	317	158	67	186	462	428	392	523	0	424	359	182	308	253
119	119	240	775	64	239	107	553	34	239	176	349	353	254	109	165	245	217
5	0	9	2	15	2	11	3	3	11	2	3	0	5	2	11	4	3
39	131	21	120	162	102	118	207	130	73	75	65	5	384	48	32	172	132
361	447	76	310	315	435	374	210	619	196	97	184	60	201	214	275	322	313
16	0	3	42	8	56	23	15	0	0	18	202	0	8	40	0	0	7
940	229	699	686	1040	733	586	417	549	846	546	578	1	707	388	502	790	478
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
